;"LFP";"WHRS";"KL6";"K618";"AGE";"EDUC";"WW";"RPWG";"HHRS";"HA";"HE";"HW";"FAMINC";"MTR";"WMED";"WFED";"UN";"CIT";"AX";"AGE2";"KIDS";"INC"
"1-1";1;1610;1;0;32;12;3,354;2,65;2708;34;12;4,0288;16310;0,7215;12;7;5;0;14;1024;1;16,31
"2-1";1;1656;0;2;30;12;1,3889;2,65;2310;30;9;8,4416;21800;0,6615;7;7;11;1;5;900;1;21,8
"3-1";1;1980;1;3;35;12;4,5455;4,04;3072;40;12;3,5807;21040;0,6915;12;7;5;0;15;1225;1;21,04
"4-1";1;456;0;3;34;12;1,0965;3,25;1920;53;10;3,5417;7300;0,7815;7;7;5;0;6;1156;1;7,3
"5-1";1;1568;1;2;31;14;4,5918;3,6;2000;32;12;10;27300;0,6215;12;14;9,5;1;7;961;1;27,3
"6-1";1;2032;0;0;54;12;4,7421;4,7;1040;57;11;6,7106;19495;0,6915;14;7;7,5;1;33;2916;0;19,495
"7-1";1;1440;0;2;37;16;8,3333;5,95;2670;37;12;3,4277;21152;0,6915;14;7;5;0;11;1369;1;21,152
"8-1";1;1020;0;0;54;12;7,8431;9,98;4120;53;8;2,5485;18900;0,6915;3;3;5;0;35;2916;0;18,9
"9-1";1;1458;0;2;48;12;2,1262;0;1995;52;4;4,2206;20405;0,7515;7;7;3;0;24;2304;1;20,405
"10-1";1;1600;0;2;39;12;4,6875;4,15;2100;43;12;5,7143;20425;0,6915;7;7;5;0;21;1521;1;20,425
"11-1";1;1969;0;1;33;12;4,063;4,3;2450;34;12;9,7959;32300;0,5815;12;3;5;0;15;1089;1;32,3
"12-1";1;1960;0;1;42;11;4,5918;4,58;2375;47;14;8;28700;0,6215;14;7;5;0;14;1764;1;28,7
"13-1";1;240;1;2;30;12;2,0833;0;2830;33;16;5,3004;15500;0,7215;16;16;5;0;0;900;1;15,5
"14-1";1;997;0;2;43;12;2,2668;3,5;3317;46;12;4,3413;16860;0,7215;10;10;7,5;1;14;1849;1;16,86
"15-1";1;1848;0;1;43;10;3,6797;3,38;2024;45;17;10,87;31431;0,5815;7;7;7,5;1;6;1849;1;31,431
"16-1";1;1224;0;3;35;11;1,3472;0;1694;38;12;9,1499;19180;0,7215;16;10;7,5;1;9;1225;1;19,18
"17-1";1;1400;0;2;43;12;3,2143;4;2156;45;12;6,1224;18600;0,6915;10;7;7,5;1;20;1849;1;18,6
"18-1";1;640;0;5;39;12;5,175;2,25;2250;40;12;6,1498;19151;0,7215;12;12;7,5;1;6;1521;1;19,151
"19-1";1;2000;0;0;45;12;2;2,3;2024;51;11;6,917;18100;0,6915;7;7;5;1;23;2025;0;18,1
"20-1";1;1324;0;4;35;12;7,5529;3,94;2123;40;10;4,7103;20300;0,6915;12;7;5;0;9;1225;1;20,3
"21-1";1;2215;0;2;42;16;3,5052;3,3;4160;48;16;3,131;30419;0,6215;10;16;7,5;0;5;1764;1;30,419
"22-1";1;1680;0;0;30;12;3,5714;3,8;2000;35;12;4;14090;0,7215;12;10;3;0;11;900;0;14,09
"23-1";1;1600;0;0;48;13;3,25;3,26;2420;52;17;7,2227;22679;0,6615;7;3;5;1;18;2304;0;22,679
