"PAYS";"POPU";"PIB";"COMMU";"RALIM";"SECU"
"South_Africa";37;2492;73;0,8;6
"Algeria";24,6;1960;46;0,7466666667;4
"Germany";62;19610;672;0,9666666667;12
"Great_Britain";57,02;14575;428;0,8533333333;9
"Saudi_Arabia";14,4;5980;151,5;0,8333333333;14
"Argentina";32,4;2130;149,5;0,9066666667;7
"Australia";16,81;16830;368;0,8333333333;10
"Austria";7,61;16693;424,5;0,8666666667;12
"Belgium";9,93;15243;269,5;1;10
"Cameroon";11;1120;9;0,5866666667;4
"Canada";26,25;20780;453,5;0,86;12
"Chile";12,95;1794;125;0,7066666667;6
"China";1119;426;30;0,74;10
"Cuba";10,5;1050;166;0,9;9
"Denmark";5,13;20570;442,5;0,8733333333;13
"Egypt";52,52;665;61,5;0,88;6
"Spain";39,24;9650;227,5;0,9133333333;10
"France";56,1;16905;296;0,8666666667;11
"Greece";10;5370;138,5;0,98;10
"Hong_Kong";5,75;10900;384;0,8066666667;11
"Hungary";10,6;2330;338,5;0,9;8
"India";810;317;17,5;0,6666666667;6
"Indonesia";179;454;31;0,7733333333;7
"Israel";4,47;9800;264,5;0,7866666667;11
"Italy";57,55;15025;262;0,9266666667;10
"Kenya";23,88;400;9,5;0,6133333333;6
"Morocco";24,51;800;33,5;0,7866666667;8
"Mexico";84,3;2096;124;0,8;5
"Norway";4,2;22060;450,5;0,8266666667;14
"Peru";21,75;1899;58;0,62;5
"Poland";38;1740;223,5;0,8933333333;11
"Portugal";10,5;4304;115;0,8533333333;12
"Sweden";8,47;22455;460,5;0,7533333333;13
"Switzerland";6,7;26025;456;0,8533333333;14
"Thailand";55,45;1130;75;0,7;9
"USA";247,5;20765;535,5;0,92;10
"Venezuela";19,2;3220;155,5;0,68;6
"Yugoslavia";23,67;2599;139,5;0,9266666667;8
