ville;man;chefserv;inge;banquier;vendeur;ouvrier;indicateur
AbuDhabi;3675.14;95203.95;59875.81;47797.09;14567.86;4827.8;19414.4854166667
Amsterdam;12755.31;33693.05;32656.8;22734.1;12692.47;13837.07;19627.66
Athenes;9777.05;12198.39;13092.66;11008.27;5843.08;5960.85;16270.3658333333
Bangkok;1844.46;27450.96;17799.89;12762.56;1660.41;2106.23;19013.47225
Bogota;1768.37;31514.87;19017.84;8238.63;3118.38;5055.66;12290.4583333333
Bombay;857.58;4117.88;2023.78;1785.59;1072.24;1347.92;10560.2495
Bruxelles;13153.64;30355.48;24586.1;20595.92;12167.52;11715.44;14690.5875
Budapest;1689.06;6348.78;3934.89;4352.35;1992.71;1844.93;11512.204
BuenosAires;4629.97;30198.03;24031.23;33384.85;10789.7;6166.19;21829.99675
Chicago;28045.73;55895.67;34499.27;22923.9;13048.13;14020.12;33861.3161666667
Copenhague;19117.32;30958.31;32866.63;22307.89;14904.49;16638.31;14559.765
Dublin;10062.26;25664.67;27060.64;16996.01;10400.47;8863.54;14952.3795
Frankfurt;15516.29;52724.06;41755.59;34660.94;14259.36;13990.11;17204.43125
Geneve;20966.53;61051.21;39679.7;46735.49;21854.77;21790.9;25905.895
Helsinki;13036.67;31034.92;20723;14028.76;10562.06;11185.83;20895.2176666667
Hongkong;1040.19;28492.22;28416.07;9928.37;8554.36;10789.45;22356.2601666667
Houston;19433.43;34524.61;38884.71;18980.6;18714.18;14799.99;14844.584
Jakarta;1849.26;10526.38;6399.52;3590.01;1627.6;523.05;11225.791
Johannesburg;3429.67;21284.45;20312.52;8972.66;6718.67;4690.2;12725.3404166667
Lisboa;6732.23;11186.93;15130.12;12401.85;6228.16;5667.85;14301.0355
London;13407.76;25138.29;26820.95;14910.42;8471.4;10061.88;20704.4925
LosAngeles;26041.96;31814.32;43812.31;22195.47;10603.96;23783.31;32418.9384166667
Luxembourg;15713.43;62505.42;55355.05;42340.47;15465.96;18912.09;17009.7473333333
Madrid;7792.73;18614.55;23719.39;19107.88;10198.95;8398.28;14391.589
