,Survived,Age,Fare,TravelAlone,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_male,IsMinor
0,0,22.0,7.25,0,0,0,1,0,0,1,1,0
1,1,38.0,71.2833,0,1,0,0,1,0,0,0,0
2,1,26.0,7.925,1,0,0,1,0,0,1,0,0
3,1,35.0,53.1,0,1,0,0,0,0,1,0,0
4,0,35.0,8.05,1,0,0,1,0,0,1,1,0
5,0,28.0,8.4583,1,0,0,1,0,1,0,1,0
6,0,54.0,51.8625,1,1,0,0,0,0,1,1,0
7,0,2.0,21.075,0,0,0,1,0,0,1,1,1
8,1,27.0,11.1333,0,0,0,1,0,0,1,0,0
9,1,14.0,30.0708,0,0,1,0,1,0,0,0,1
10,1,4.0,16.7,0,0,0,1,0,0,1,0,1
11,1,58.0,26.55,1,1,0,0,0,0,1,0,0
12,0,20.0,8.05,1,0,0,1,0,0,1,1,0
13,0,39.0,31.275,0,0,0,1,0,0,1,1,0
14,0,14.0,7.8542,1,0,0,1,0,0,1,0,1
15,1,55.0,16.0,1,0,1,0,0,0,1,0,0
16,0,2.0,29.125,0,0,0,1,0,1,0,1,1
17,1,28.0,13.0,1,0,1,0,0,0,1,1,0
18,0,31.0,18.0,0,0,0,1,0,0,1,0,0
19,1,28.0,7.225,1,0,0,1,1,0,0,0,0
20,0,35.0,26.0,1,0,1,0,0,0,1,1,0
21,1,34.0,13.0,1,0,1,0,0,0,1,1,0
22,1,15.0,8.0292,1,0,0,1,0,1,0,0,1
23,1,28.0,35.5,1,1,0,0,0,0,1,1,0
24,0,8.0,21.075,0,0,0,1,0,0,1,0,1
25,1,38.0,31.3875,0,0,0,1,0,0,1,0,0
26,0,28.0,7.225,1,0,0,1,1,0,0,1,0
27,0,19.0,263.0,0,1,0,0,0,0,1,1,0
28,1,28.0,7.8792,1,0,0,1,0,1,0,0,0
29,0,28.0,7.8958,1,0,0,1,0,0,1,1,0
30,0,40.0,27.7208,1,1,0,0,1,0,0,1,0
31,1,28.0,146.5208,0,1,0,0,1,0,0,0,0
32,1,28.0,7.75,1,0,0,1,0,1,0,0,0
